,Age,Attrition,Business_travel,Daily_rate,Distance_from_home,Education,Education_field,Employee_count,Employee_number,Environment_satisfaction,Gender,Hourly_rate,Job_involvement,Job_level,Job_role,Job_satisfaction,Marital_status,Monthly_rate,Num_companies_worked,Over_18,Over_time,Percent_salary_hike,Performance_rating,Relationship_satisfaction,Stock_option_level,Total_working_years,Training_times_last_year,Work_life_balance,Years_at_company,Years_since_last_promotion,Years_with_curr_manager,Date_birth,Remote_work
0,51,No,Unknown,684.0,6.0,3,Unknown,1.0,162,1,Male,51.0,3,5,Research director,3,Unknown,6462.0,7,Yes,No,13.0,3.0,3,0,11.32,5,3.0,20,15,15,1972,Yes
1,52,No,Unknown,699.0,1.0,4,Life sciences,1.0,259,3,Male,65.0,2,5,Manager,3,Unknown,5678.0,0,Unknown,Unknown,14.0,3.0,1,1,34.0,5,3.0,33,11,9,1971,Yes
2,42,No,Travel_rarely,532.0,4.0,2,Technical degree,1.0,319,3,Male,58.0,3,5,Manager,4,Married,4933.0,1,Unknown,No,11.0,3.0,4,0,22.0,3,2.76,22,11,15,1981,Yes
3,47,No,Travel_rarely,359.0,2.0,4,Medical,1.0,Unknown,1,Female,82.0,3,4,Research director,3,Married,26703.0,3,Yes,Unknown,19.0,3.0,2,2,11.32,2,2.76,20,5,6,1976,No
4,46,No,Unknown,1319.0,3.0,3,Technical degree,1.0,Unknown,1,Female,45.0,4,4,Sales executive,1,Divorced,7739.0,2,Yes,No,12.0,3.0,4,1,11.32,5,3.0,19,2,8,1977,No
5,48,No,Unknown,117.0,22.0,3,Medical,1.0,1900,4,Female,58.0,3,4,Manager,4,Unknown,2437.0,3,Unknown,No,11.0,3.0,2,1,11.32,3,3.0,22,4,7,1975,Yes
6,59,No,Unknown,1435.0,25.0,3,Life sciences,1.0,81,1,Female,99.0,3,3,Sales executive,1,Unknown,2354.0,7,Yes,Unknown,11.0,3.0,4,0,28.0,3,2.0,21,7,9,1964,Unknown
7,42,No,Travel_rarely,635.0,1.0,1,Unknown,1.0,387,2,Male,99.0,3,2,Sales executive,3,Married,24532.0,1,Unknown,No,25.0,4.0,3,0,20.0,3,3.0,20,11,6,1981,No
8,41,No,Unknown,1276.0,2.0,5,Unknown,1.0,Unknown,2,Female,91.0,3,4,Manager,1,Married,5626.0,7,Unknown,No,16.0,3.0,2,1,22.0,2,3.0,18,11,8,1982,Unknown
9,41,No,Travel_frequently,840.0,9.0,3,Unknown,1.0,999,1,Male,64.0,3,5,Research director,3,Unknown,3735.0,2,Unknown,No,17.0,3.0,2,1,21.0,2,4.0,18,0,11,1982,No
10,41,No,Non-travel,247.0,7.0,1,Unknown,1.0,1035,2,Female,55.0,1,5,Research director,3,Unknown,20284.0,1,Yes,No,22.0,4.0,2,2,11.32,3,3.0,21,5,10,1982,No
11,56,No,Travel_rarely,1369.0,23.0,3,Life sciences,1.0,Unknown,4,Male,68.0,3,4,Manufacturing director,2,Married,18235.0,4,Unknown,Yes,12.0,3.15,1,1,33.0,0,3.0,19,15,9,1967,No
12,38,No,Unknown,201.0,10.0,3,Medical,1.0,Unknown,2,Female,99.0,1,3,Research director,3,Married,3376.0,3,Yes,No,12.0,3.0,1,1,11.32,3,3.0,18,1,11,1985,Yes
